"","Day","Month","Year","SiteCode","Watershed","Ammonia","Nitrate","NPOC","Phosphorus","TDN","TN","TP","DON"
"131",8,5,15,"PR_ST_BA","Provo",NA,NA,7.059,NA,0.229,0.211,0.0132,NA
"132",8,7,15,"PR_BJ_AA","Provo",0.0079,0.0079,4.63,0.0079,0.207,0.1757,0.0075,0.1912
"133",8,7,15,"PR_CH_AA","Provo",0.0252,0.0252,4.742,0.0252,0.335,0.2357,0.0205,0.2846
"134",8,7,15,"PR_LM_BA","Provo",0.0155,0.0155,NA,0.0155,NA,0.1569,0.0113,NA
"135",8,7,15,"PR_ST_BA","Provo",0.0107,0.0107,3.996,0.0107,0.166,0.151,0.0036,0.1446
"136",10,4,15,"PR_BJ_AA","Provo",0.0191,0.0191,3.23,0.0191,0.2,0.2346,0.0067,0.1618
"137",10,4,15,"PR_CH_AA","Provo",0.0435,0.0435,3.45,0.0435,0.37,0.3936,0.0282,0.283
"138",10,4,15,"PR_LM_BA","Provo",0.0653,0.0653,3.3,0.0653,0.18,0.2007,0.0126,0.0494
"139",11,5,15,"LR_Franklin_BA","Logan",0.0171,0.1059,1.676,0.0098,0.231,0.1147,0.0199,0.108
"140",11,5,15,"LR_MainSt_BA","Logan",0.0155,0.1051,NA,0.005,NA,0.1478,0.0139,NA
"141",11,5,15,"LR_Mendon_AA","Logan",0.0153,0.1244,NA,0.005,NA,0.215,0.0207,NA
"142",11,5,15,"LR_TonyGrove_BA","Logan",0.0101,0.0437,2.451,0.005,0.081,0.0754,0.0167,0.0272
"143",11,5,15,"LR_WaterLab_AA","Logan",0.0104,0.0861,1.25,0.005,0.173,0.1198,0.0141,0.0765
"144",11,5,15,"MR_AA_150511?","Logan",NA,NA,1.403,NA,0.237,NA,NA,NA
"145",11,5,15,"MS_BA_150511?","Logan",NA,NA,1.317,NA,0.219,NA,NA,NA
"146",11,9,14,"LR_MainSt_BA","Logan",NA,NA,0.988666667,NA,0.240333333,NA,NA,NA
"147",11,12,14,"RB_1300E","Red Butte",0.005,2.9754,0.914317,2.9754,3.055336,3.0834,0.0102,0.0749360000000001
"148",11,12,14,"RB_1300S","Red Butte",0.0233,2.125,1.035406,2.125,2.165372667,2.043,0.0098,0.0170726670000003
"149",11,12,14,"RB_ARBR_AA","Red Butte",0.005,0.005,0.986536,0.005,0.074851927,0.0426,0.0206,0.064851927
"150",11,12,14,"RB_CG_BA","Red Butte",0.0061,0.0183,1.517952,0.0183,0.08065286,0.0665,0.0167,0.05625286
"151",11,12,14,"RB_FD_AA","Red Butte",0.005,0.005,2.1652985,0.005,0.090654253,0.0531,0.0122,0.080654253
"152",11,12,14,"RB_KF_BA","Red Butte",0.0138,0.0645,0.82847775,0.0645,0.1557666,0.0915,0.0265,0.0774666
"153",11,12,14,"RB_RBG_BA","Red Butte",0.005,0.0058,1.525011,0.0058,0.08251834,0.0899,0.0189,0.07171834
"154",12,5,15,"RB_1300E","Red Butte",0.0231,1.667,3.729,1.667,1.3545,1.7403,0.019,-0.3356
"155",12,5,15,"RB_1300S","Red Butte",0.0539,0.9172,NA,0.9172,NA,1.3979,0.0698,NA
"156",12,5,15,"RB_ARBR_AA","Red Butte",0.0123,0.0066,2.444,0.0066,0.137,0.1994,0.0437,0.1181
"157",12,5,15,"RB_CG_BA","Red Butte",0.0152,0.0321,5.407,0.0321,0.107,0.0888,0.0405,0.0597
"158",12,5,15,"RB_FD_AA","Red Butte",0.0188,0.0316,5.083,0.0316,0.096,NA,NA,0.0456
"159",12,5,15,"RB_KF_BA","Red Butte",0.0106,0.0413,1.676,0.0413,0.059,0.1207,0.0383,0.0071
"160",12,5,15,"RB_RBG_BA","Red Butte",0.0115,0.02,5.282,0.02,0.099,0.0933,0.0398,0.0675
"161",12,11,14,"PR_BJ_AA","Provo",0.005,0.005,3.60583524,0.005,0.106667231,0.2046,0.0127,0.096667231
"162",12,11,14,"PR_CanyonViewPark","Provo",NA,NA,1.876648142,NA,0.301865472,NA,NA,NA
"163",12,11,14,"PR_CH_AA","Provo",NA,NA,3.037612146,NA,0.6413419,NA,NA,NA
"164",12,11,14,"PR_LM_BA","Provo",NA,NA,3.514211253,NA,0.096212698,NA,NA,NA
"165",12,11,14,"PR_SnakeCreekRR","Provo",NA,NA,0.725309651,NA,0.909750049,NA,NA,NA
"166",12,11,14,"PR_SpringCreek","Provo",NA,NA,2.387390578,NA,0.437295348,NA,NA,NA
"167",12,11,14,"PR_SpringGround","Provo",NA,NA,1.218889615,NA,0.760794094,NA,NA,NA
"168",12,11,14,"PR_ST_BA","Provo",0.005,0.005,1.546520286,0.005,0.125758729,0.1532,0.0024,0.115758729
"169",12,11,14,"PR_Vivian","Provo",NA,NA,2.208047292,NA,0.252551638,NA,NA,NA
"170",13,2,15,"RB_KF_BA","Red Butte",0.005,0.0684,1.186,0.0684,0.097,0.0742,0.0297,0.0236
"171",14,1,15,"RB_1300E","Red Butte",0.0051,2.7078,0.757,2.7078,2.912,2.6932,0.0167,0.1991
"172",14,1,15,"RB_1300S","Red Butte",0.0387,1.7164,1.449,1.7164,2.228,2.181,0.0273,0.4729
"173",14,1,15,"RB_ARBR_AA","Red Butte",0.0064,0.0272,4.71,0.0272,0.077,0.0438,0.0211,0.0434
"174",14,1,15,"RB_CG_BA","Red Butte",0.005,0.0151,13.938,0.0151,0.078,0.162,0.0446,0.0579
"175",14,1,15,"RB_FD_AA","Red Butte",0.0055,0.0237,9.474,0.0237,0.092,0.1102,0.0179,0.0628
"176",14,1,15,"RB_RBG_BA","Red Butte",0.005,0.0303,1.388,0.0303,0.115,0.1203,0.0231,0.0797
"177",14,7,15,"RB_900W","Red Butte",0.084,0.7359,NA,0.7359,NA,NA,NA,NA
"178",14,7,15,"RB_ARBR_AA","Red Butte",0.005,0.0469,NA,0.0469,NA,0.1043,0.0203,NA
"179",14,7,15,"RB_CG_BA","Red Butte",0.0412,0.1522,NA,0.1522,NA,0.4344,0.0607,NA
"180",14,7,15,"RB_FD_AA","Red Butte",0.0348,0.1944,NA,0.1944,NA,0.3596,0.1362,NA
"181",14,7,15,"RB_KF_BA","Red Butte",0.005,0.0515,NA,0.0515,NA,0.1503,0.0354,NA
"182",14,7,15,"RB_LDS","Red Butte",0.0872,1.5366,NA,1.5366,NA,1.3878,0.0352,NA
"183",14,7,15,"RB_RBG_BA","Red Butte",0.0592,0.2471,NA,0.2471,NA,0.5832,0.0921,NA
"184",14,10,14,"LR_Franklin_BA","Logan",0.005,0.1021,0.742333333,0.005,0.244333333,0.1649,0.005,0.137233333
"185",14,10,14,"LR_MainSt_BA","Logan",0.005,0.0886,0.724132664,0.005,0.230666667,0.1942,0.0108,0.137066667
"186",14,10,14,"LR_Mendon_AA","Logan",0.0239,0.1856,1.215353158,0.005,0.2565,0.2723,0.005,0.047
"187",14,10,14,"LR_TonyGrove_BA","Logan",0.005,0.0306,0.862333333,0.005,0.197666667,0.0864,0.005,0.162066667
"188",14,10,14,"LR_WaterLab_AA","Logan",0.0108,0.0917,0.985,0.005,0.246666667,0.1891,0.0071,0.144166667
"189",14,10,14,"PR_BJ_AA","Provo",0.005,0.005,0.682666667,0.005,NA,0.2619,0.0135,NA
"190",14,10,14,"PR_CH_AA","Provo",0.0085,0.0085,1.215,0.0085,NA,0.4523,0.0232,NA
"191",14,10,14,"PR_LM_BA","Provo",0.005,0.005,1.329,0.005,NA,0.2298,0.0129,NA
